LIPID,CLASS,CHAINS,OTHER,LIPID_NAME_CLEAN,QUANTIFIER,Q1,Q3,RT,Area_SPL,SB_ratio,Conc_SPL,CV_TQC,CV_BQC,CV_SPL,D_ratio,r.squared_1,r.squared_2,p.value_1,p.value_2
DG 14:0_18:2 [-18:2],DG,14:0_18:2,[-18:2],DG 14:0_18:2,TRUE,582.5,285.2,4.983333333,4594.682722,14.88496799810312,0.6675638460340348,41.405321939999276,13.652017739931402,83.35654618419298,0.17895243935336533,0.916968986061847,0.8696173668929591,0.0026603983636500524,0.006674191126280081
DG 14:1_20:0 [-20:0],DG,14:1_20:0,[-20:0],DG 14:1_20:0,TRUE,612.6,283.3,5.083333333,15455.20161,0.27349534937639347,0.9197071735072053,96.03898248127972,43.99000054817008,85.63104694563815,0.4741277448542416,0.06438179759938252,0.019451472727625874,0.6275644529606641,0.7921536291776107
DG 15:0_18:1 d7 [-15:0] (ISTD),DG,15:0_18:1,d7,DG 15:0_18:1,TRUE,605.1,346.3,5.4,8635.931951,0.47677273213235083,1,4.7821097973718414e-14,7.246571902073885e-14,6.579886408580702e-14,1.1013217329441691,0.9394061931341311,0.9851605224668395,0.0014056510629820815,8.29907041167303e-5
DG 15:0_18:1 d7 [-18:1] (ISTD),DG,15:0_18:1,d7,DG 15:0_18:1,TRUE,605.1,299,5.4,8502.239247,0.4803437255517884,1,4.7821097973718414e-14,7.246571902073885e-14,6.579886408580702e-14,1.1013217329441691,0.9346751276133073,0.9309107002096219,0.0016364364908825067,0.0018329022850061937
DG 16:0_16:0 [-16:0],DG,16:0_16:0,[-16:0],DG 16:0_16:0,TRUE,586.5,313.2,5.533333333,17319.98756,3.4430984819663895,0.7622458812258869,30.398815671471013,12.953564205093853,71.22649949565142,0.19447021818038232,0.9722632467588257,0.8766714728961661,2.9120753686099027e-4,0.005955935900489666
DG 16:0_16:1 [-16:0],DG,16:0_16:1,[-16:0],DG 16:0_16:1,FALSE,584.5,311.2,5.266666667,5217.638098,15.609224640066845,0.7413784678403784,42.13877451249607,19.107949039378717,78.17823486920793,0.2615147405463815,0.9517870657512335,0.9812223981346218,8.86084000792348e-4,1.3306084591150429e-4
DG 16:0_16:1 [-16:1],DG,16:0_16:1,[-16:1],DG 16:0_16:1,TRUE,584.5,313.2,5.266666667,5999.520247,6.09144718438983,0.7340457546323627,40.80135124805657,13.426466879002955,70.70595527084085,0.20977257456612308,0.9666938564868868,0.9838573072648722,4.206939998907447e-4,9.825059590062438e-5
DG 16:0_18:0 [-16:0],DG,16:0_18:0,[-16:0],DG 16:0_18:0,FALSE,614.6,341.3,5.816666667,7952.918334,2.0468161217560215,0.8895387008541245,25.32452188011386,10.14742778999949,50.69327743901011,0.20302274714760707,0.9805745814849044,0.9589074977845637,1.4243149019174602e-4,6.421023673388236e-4
DG 16:0_18:0 [-18:0],DG,16:0_18:0,[-18:0],DG 16:0_18:0,TRUE,614.6,313.3,5.816666667,9076.636927,2.086341632504896,0.8564070819038103,21.805072847402617,10.64353928271088,51.16349009844193,0.21696631901986635,0.9496913713152431,0.8177258659404031,9.654915110170569e-4,0.01330443273311455
DG 16:0_18:1 [-16:0],DG,16:0_18:1,[-16:0],DG 16:0_18:1,FALSE,612.6,339.3,5.583333333,76213.88201,38.14512230795647,0.7836146255121169,43.041824109262265,13.208947375375349,65.08430525146409,0.2183188607796703,0.964727607409355,0.9820089885133196,4.7215007421482234e-4,1.2211404972916658e-4
DG 16:0_18:1 [-18:1],DG,16:0_18:1,[-18:1],DG 16:0_18:1,TRUE,612.6,313.3,5.583333333,96237.21773,31.618885670645007,0.7587552864291595,41.15220265235908,14.154385245036933,65.15248846552748,0.24237855515292756,0.9689331579998541,0.9634365047143058,3.657456520511791e-4,5.075724278880081e-4
DG 16:0_18:2 [-16:0],DG,16:0_18:2,[-16:0],DG 16:0_18:2,TRUE,610.5,337.2,5.333333333,45768.77644,82.77675102211742,0.7655285390042899,38.3972487768268,12.265805925038526,66.49270040123916,0.19836878896741594,0.9818205184638845,0.9830264238702245,1.246938802989322e-4,1.0865552626109175e-4
DG 16:0_18:2 [-18:2],DG,16:0_18:2,[-18:2],DG 16:0_18:2,FALSE,610.5,313.2,5.333333333,65358.16476,85.34831202053164,0.7471335401826003,41.443537162694525,15.109238519935374,64.42576425808166,0.25631891206025714,0.9760122346464978,0.9769538677407823,2.175288505592259e-4,2.0072176901007822e-4
DG 16:0_20:0 [-16:0],DG,16:0_20:0,[-16:0],DG 16:0_20:0,TRUE,642.7,369.3,6.083333333,293.7657534,1.925755811950928,1.0606829724614018,40.776562234806676,24.280354099953723,47.16894455966005,0.45728675141024466,0.03699936254532834,0.5923083557300268,0.7150301786515763,0.07350133140820421
DG 16:0_20:3 [-20:3],DG,16:0_20:3,[-20:3],DG 16:0_20:3,TRUE,636.6,313.3,5.433333333,2912.120829,42.010247846058064,0.742782789552462,46.04577738153409,13.107392636290335,79.80993501515839,0.17304127157204532,0.9202338965157681,0.9829187521542118,0.002452434229210808,1.100424125398041e-4
DG 16:0_20:4 [-20:4],DG,16:0_20:4,[-20:4],DG 16:0_20:4,TRUE,634.5,313.2,5.3,10114.63109,308.8119020321385,0.728442360726873,34.68806783256377,13.79358601445681,74.06660707113181,0.20332675651949042,0.9638846785510171,0.7898506002155419,4.951294688096081e-4,0.01788100139874962
DG 16:0_22:5 [-22:5],DG,16:0_22:5,[-22:5],DG 16:0_22:5,TRUE,660.6,313.3,5.366666667,7682.754473,45.953368195178136,0.8030889821922419,40.70823160620481,11.509691879044219,65.32478153355544,0.19077048611703776,0.9420738647157586,0.982511569701466,0.0012834084377507467,1.1536719670538979e-4
DG 16:0_22:6 [-22:6],DG,16:0_22:6,[-22:6],DG 16:0_22:6,TRUE,658.5,313.2,5.216666667,15475.99355,57.52718728532655,0.6997410399256443,43.37465799549895,13.555718645309724,84.37959351900611,0.17835116232866102,0.8781682081274953,0.8744872129236234,0.005809035453213618,0.006173762646929313
DG 16:1_16:1 [-16:1],DG,16:1_16:1,[-16:1],DG 16:1_16:1,TRUE,582.5,311.2,4.983333333,2072.80085,2.182502379301591,0.7560383198720435,45.136533456868555,18.856293033910497,72.20160110454975,0.281668580006695,0.05899457819456331,0.3476504738967507,0.6428325446662897,0.21806226502033244
DG 16:1_18:0 [-18:0],DG,16:1_18:0,[-18:0],DG 16:1_18:0,TRUE,612.6,311.3,5.583333333,966.6964218,6.387692086741621,0.714610842612802,36.827254837876715,17.21591288545499,88.72722325054922,0.19730899938188423,0.8320436876789684,0.8114657027602068,0.0112338373488077,0.01426892986368263
DG 16:1_18:1 [-16:1],DG,16:1_18:1,[-16:1],DG 16:1_18:1,TRUE,610.5,339.2,5.316666667,18718.48989,21.199727232905637,0.782660693280806,30.458418023212648,11.244166417705918,61.179816867590745,0.19601649887220868,0.9791995099408295,0.9396570555703393,1.6338593600423505e-4,0.0013939137274218024
DG 16:1_18:1 [-18:1],DG,16:1_18:1,[-18:1],DG 16:1_18:1,FALSE,610.5,311.2,5.316666667,22745.91101,12.00530725115924,0.7775411745140675,34.785984057586376,10.90535519110601,62.11801829746957,0.18931875273482943,0.9784503642538758,0.9673828102030302,1.7541135566862933e-4,4.0337435812945525e-4
DG 18:0_18:0 [-18:0],DG,18:0_18:0,[-18:0],DG 18:0_18:0,TRUE,642.6,341.3,6.083333333,5631.316617,1.5947607205637986,0.9617773771749637,39.127306707752524,10.4614131675756,32.305065643585536,0.319892560672862,0.9818706104990182,0.8927041581429083,1.2400555916995177e-4,0.004481595529283574
DG 18:0_18:1 [-18:0],DG,18:0_18:1,[-18:0],DG 18:0_18:1,FALSE,640.6,339.3,5.866666667,12607.38742,19.987013411047545,0.7443132833918169,32.053805800819305,10.66202574719807,78.0488498062833,0.14495984861040614,0.981091901099971,0.9894852407631862,1.3492267253674135e-4,4.160624040300462e-5
DG 18:0_18:1 [-18:1],DG,18:0_18:1,[-18:1],DG 18:0_18:1,TRUE,640.6,341.3,5.866666667,13558.65364,17.935539900141297,0.7500254426928084,33.304126313863996,12.106542160104873,74.47948492607262,0.17359966856502637,0.9671178452955286,0.9789413426382877,4.0999175495370866e-4,1.6748152131606698e-4
DG 18:0_18:2 [-18:0],DG,18:0_18:2,[-18:0],DG 18:0_18:2,TRUE,638.6,337.3,5.65,10542.29777,73.65699476740697,0.7790298771707584,33.167364793042296,12.792497669720365,72.8918584581015,0.1843776398519478,0.950240975438278,0.9946540604983298,9.443312503296887e-4,1.0736306314295692e-5
DG 18:0_18:2 [-18:2],DG,18:0_18:2,[-18:2],DG 18:0_18:2,FALSE,638.6,341.3,5.65,13177.45993,50.11777699144175,0.7537416806069708,34.449349954895865,12.04269794979664,69.55907028397712,0.18862247143105904,0.9916511241906677,0.97077766714708,2.6211984734255476e-5,3.2340085273751065e-4
DG 18:0_20:4 [-20:4],DG,18:0_20:4,[-20:4],DG 18:0_20:4,TRUE,662.6,341.3,5.6,6383.303112,107.84726385246631,0.8242486035043955,40.88338757625719,15.401495019471877,47.81913736978366,0.3547266235703859,0.976492672689576,0.9951202873912444,2.0886847928897853e-4,8.943912393434834e-6
DG 18:1_18:1 [-18:1],DG,18:1_18:1,[-18:1],DG 18:1_18:1,TRUE,638.6,339.3,5.6,316270.4954,48.633037656237356,0.8079000304121824,33.97985200501281,10.29708777602369,54.072723830148995,0.20462611614252332,0.9742294001669018,0.9557443726163374,2.512173446231879e-4,7.455728133475724e-4
DG 18:1_18:2 [-18:1],DG,18:1_18:2,[-18:1],DG 18:1_18:2,FALSE,636.6,337.3,5.383333333,154991.5769,156.83070206263298,0.7934562696648277,32.05129730762324,11.337257133080904,53.84402679139817,0.22767086997555155,0.9942752572150022,0.9872894945821351,1.2313282686748603e-5,6.084239019763287e-5
DG 18:1_18:2 [-18:2],DG,18:1_18:2,[-18:2],DG 18:1_18:2,TRUE,636.6,339.3,5.383333333,172187.6111,142.16184712473904,0.8212940496866464,30.917685168653357,9.79686110039854,55.102657584705604,0.18725800964133982,0.9864562105395402,0.9237098389014822,6.910077414332965e-5,0.0022405837544513304
DG 18:1_18:3 [-18:3],DG,18:1_18:3,[-18:3],DG 18:1_18:3,TRUE,634.5,339.2,5.166666667,14939.98434,42.23932425614289,0.7864775233207402,34.390058579389084,9.927722621496326,62.1371186970481,0.17115625317045507,0.9828319055742273,0.9159269611367383,1.1116750189374568e-4,0.002728607527331091
DG 18:1_20:0 [-18:1],DG,18:1_20:0,[-18:1],DG 18:1_20:0,TRUE,668.7,369.3,7.3,896343.7135,508.4003719302046,1.0350918513628278,18.730575290970034,14.88275982020513,35.51670390004753,0.3955711152747599,0.9329423506058824,0.9195336206069996,0.0017254542285711186,0.0024963059499453293
DG 18:1_20:3 [-20:3],DG,18:1_20:3,[-20:3],DG 18:1_20:3,TRUE,662.6,339.3,5.55,8223.326796,65.6006237158032,0.7927269115669269,30.683222216795535,10.185693073394624,63.472534808959225,0.1734118127543832,0.9897997366259391,0.9716946332360447,3.9150442491956e-5,3.033284349365073e-4
DG 18:1_20:4 [-18:1],DG,18:1_20:4,[-18:1],DG 18:1_20:4,FALSE,660.6,361.3,5.333333333,4871.779852,270.4125144454133,0.7921625819695565,31.297127736340684,12.947308968886226,59.768542950529444,0.2350064753581837,0.946901286257568,0.9461622826684637,0.001076595856110152,0.0011070562912824482
DG 18:1_20:4 [-20:4],DG,18:1_20:4,[-20:4],DG 18:1_20:4,TRUE,660.6,339.3,5.333333333,33128.4079,1164.8793503740992,0.8587233078888921,31.504891998493523,11.609775960185658,58.44276213972225,0.20559967082869512,0.916167799796085,0.9812040880019004,0.002712763602905881,1.3332129501800486e-4
DG 18:2_18:2 [-18:2],DG,18:2_18:2,[-18:2],DG 18:2_18:2,TRUE,634.5,337.2,5.133333333,50536.48337,90.99215715136982,0.7867148145084015,32.196866933044234,9.781880544130624,63.33659959376384,0.16649112407860203,0.9299134291007011,0.9524627820300127,0.0018868621779374107,8.612190076585692e-4
DG 18:2_20:3 [-20:3],DG,18:2_20:3,[-20:3],DG 18:2_20:3,TRUE,660.6,337.3,5.316666667,2411.330633,38.043025345489355,0.735405743086867,47.109726600865734,25.478130057754754,72.25816072525049,0.38974089870999956,0.5040588129053342,0.7158904927664395,0.11397707670317135,0.03370390766677213
DG 18:2_20:4 [-20:4],DG,18:2_20:4,[-20:4],DG 18:2_20:4,TRUE,658.5,337.2,5.083333333,11999.01766,171.42444280634854,0.79347656739343575,28.467643700005503,12.621141758125287,58.15951911819891,0.2375956042983066,0.778153889018445,0.8834703692140733,0.020021097400844626,0.005304046260177209
GM3 d18:1/16:0,GM3,d18:1/16:0,NA,GM3 d18:1/16:0,TRUE,1153.7,264.3,3.75,10215.87964,6001.800440321025,0.8758507053082927,11.973136246252626,7.934015056442583,24.27012444535913,0.36503302713346375,0.9676833579119135,0.8783419452047548,3.9593418806096754e-4,0.005792107895377205
GM3 d18:1/18:0,GM3,d18:1/18:0,NA,GM3 d18:1/18:0,TRUE,1181.8,264.3,4.1,3161.178586,761.8389696409513,0.9052996664785302,22.78279143162867,14.79480928662316,35.64055897657393,0.4314604840631387,0.7381999766595333,0.9147065978324562,0.02834694135386223,0.0028096219663988156
GM3 d18:1/20:0,GM3,d18:1/20:0,NA,GM3 d18:1/20:0,TRUE,1209.8,264.3,4.433333333,302.9008387,6.3489550726219814,1.0368550149111189,150.7322962316393,105.04520370123554,272.23522443984274,0.1940851185962253,0.30876599709178354,0.1935300847390154,0.2522848170396404,0.3826881145486535
GM3 d18:1/22:0,GM3,d18:1/22:0,NA,GM3 d18:1/22:0,TRUE,1237.8,264.3,4.766666667,976.5444756,323.89852792730767,1.0913486689859766,45.13042512713717,39.652901483387836,58.34213650281414,0.6021664775394765,0.4667411874600588,0.7710401659519736,0.13465830520050398,0.021387524080919963
GM3 d18:1/24:0,GM3,d18:1/24:0,NA,GM3 d18:1/24:0,TRUE,1265.8,264.3,5.066666667,1357.177678,36.36995826953458,0.937502763007951,36.637884580359696,21.049356376924504,43.05409174884106,0.48748898338680646,0.8298544806105206,0.9461798933034886,0.011538331628231759,0.0011063253759950793
GM3 d18:1/24:1,GM3,d18:1/24:1,NA,GM3 d18:1/24:1,TRUE,1263.8,264.3,4.766666667,829.0899727,124.35706263123777,0.9788020049229721,72.87375856715491,42.598357329198,73.89435444470897,0.5294971857650425,0.525857890802952,0.85144060296379,0.10292481606048452,0.008724101669356025
Hex2Cer d18:1/12:0 (ISTD),Hex2Cer,d18:1/12:0,(ISTD),Hex2Cer d18:1/12:0,TRUE,806.6,264.2,3.55,551300.8953,1.09967440005402,1.0000000000000002,6.625810757646395e-14,8.062801566585291e-14,7.463431600786728e-14,1.0803075579516777,0.9949116514910963,0.9980830515944262,9.725749239329618e-6,1.3788906709588484e-6
Hex2Cer d18:1/16:0,Hex2Cer,d18:1/16:0,NA,Hex2Cer d18:1/16:0,TRUE,862.6,264.3,4.316666667,19301.7081,277.6368215551975,0.8870237232624839,13.777189401651551,7.882483662339627,26.845745269212895,0.3195125610974051,0.9300601936729146,0.9912096892000757,0.0018788707577733512,2.9061411702871507e-5
Hex2Cer d18:1/18:0,Hex2Cer,d18:1/18:0,NA,Hex2Cer d18:1/18:0,TRUE,890.7,264.3,4.666666667,243.1494408,87.54621073587413,1.4793002655354808,238.34221074476685,124.08796397784525,255.2846060663814,0.16842279940593288,0.03993510541115653,0.23967794071919502,0.704233723251676,0.32431575464732915
Hex2Cer d18:1/20:0,Hex2Cer,d18:1/20:0,NA,Hex2Cer d18:1/20:0,TRUE,918.7,264.3,5.016666667,277.3921524,163.05579598516005,1.163553527279586,142.6147882882374,155.91020610676577,169.455526823242,0.5434373581774121,0.17984321183749322,0.46652460626462755,0.40201500960839315,0.13478513478387366
